0.00047661	0.020942 2.3919
0.00027854	0.041884 2.1909
0.00025711	0.062826 2.64
0.00021196	0.083768 1.5061
0.0005055	0.10471	0.68443
0.00017447	0.12565	2.2208
0.0012673	0.14659	1.894
0.0020939	0.16754	-2.1373
0.00097951	0.18848	1.0825
0.00056712	0.20942	1.8624
0.00041252	0.23036	0.63098
0.00069511	0.2513	1.2975
0.00038979	0.27225	2.5132
0.00072242	0.29319	-0.99065
0.0014728	0.31413	2.4546
0.0012863	0.33507	0.59265
0.00024246	0.35601	1.2877
0.00025446	0.37696	1.6181
0.00048058	0.3979	2.2906
0.00076372	0.41884	2.5481
0.0010567	0.43978	0.21159
0.0022276	0.46072	0.54067
0.0010956	0.48167	1.2186
0.00038265	0.50261	1.6049
0.00048579	0.52355	1.2297
0.0012527	0.54449	1.9796
0.0010566	0.56543	2.5959
0.001629	0.58638	1.6917
0.001759	0.60732	0.75559
0.0010394	0.62826	2.5132
0.00092503	0.6492	-2.0504
0.000489	0.67014	2.6272
0.00066725	0.69109	2.8937
0.00099918	0.71203	-2.3107
0.00071435	0.73297	1.0738
8.9789e-05	0.75391	-0.45917
0.00045407	0.77485	-0.26654
0.00038182	0.7958	-0.30975
0.00049416	0.81674	0.95691
0.001065	0.83768	-0.30458
0.00069165	0.85862	2.3291
0.00057866	0.87956	1.2585
0.00038522	0.90051	0.74441
0.0006347	0.92145	1.0235
0.0004174	0.94239	1.3882
0.00026823	0.96333	2.5577
0.00054776	0.98427	1.3491
0.0017416	1.0052	0.31151
9.2405e-05	1.0262	-2.392
0.00093357	1.0471	0.51082
0.00029589	1.068	-0.7579
0.00066538	1.089	-0.10852
0.00044687	1.1099	1.363
0.00041131	1.1309	-0.3295
0.00088421	1.1518	0.16766
0.00057101	1.1728	0.14703
0.00035708	1.1937	2.0549
0.00053089	1.2146	0.34991
0.00060639	1.2356	-0.42832
0.0003933	1.2565	0.59367
0.00059082	1.2775	-1.2046
0.0006521	1.2984	-1.4973
0.00057859	1.3193	1.4056
0.0018047	1.3403	0.56761
0.0010589	1.3612	-0.32384
0.00067212	1.3822	1.5785
0.0010899	1.4031	0.71476
0.00039533	1.4241	0.46575
0.0014044	1.445	-0.4422
0.00082316	1.4659	2.3415
0.0011649	1.4869	1.1257
0.001284	1.5078	-3.1206
0.00021241	1.5288	-2.9422
0.0023702	1.5497	-0.28134
0.0014833	1.5707	0.045654
0.005693	1.5916	1.5714
0.0014689	1.6125	-0.19618
0.0071656	1.6335	0.96504
0.0027225	1.6544	0.68984
0.002849	1.6754	-1.7064
0.0030071	1.6963	-3.1091
0.0027891	1.7172	2.4361
0.0043816	1.7382	1.6315
0.004037	1.7591	2.5115
0.0053739	1.7801	-0.36861
0.0054024	1.801	-2.89
0.0053001	1.822	-0.18332
0.0075333	1.8429	0.50279
0.0020356	1.8638	1.1736
0.0034	1.8848	-1.3429
0.0019698	1.9057	2.3937
0.0039589	1.9267	-1.5611
0.0053467	1.9476	-0.51079
0.0090921	1.9685	-0.85011
0.0012623	1.9895	-2.3006
0.0025289	2.0104	1.9868
0.0027635	2.0314	-1.54
0.0027312	2.0523	-1.7067
0.0049311	2.0733	-2.9882
0.0029192	2.0942	-1.4959
0.0020649	2.1151	-1.7028
0.0013446	2.1361	2.1557
0.0019155	2.157	0.1123
0.0026301	2.178	1.2917
0.0039343	2.1989	-0.27047
0.00042671	2.2199	-0.17113
0.0015531	2.2408	-2.3475
0.0019043	2.2617	0.82254
0.0015801	2.2827	1.9728
0.0017657	2.3036	1.4159
0.0030859	2.3246	1.1727
0.0027081	2.3455	0.23889
0.0027972	2.3664	-1.991
0.0050702	2.3874	2.8106
0.0039204	2.4083	-2.9829
0.0047045	2.4293	-2.4427
0.0025897	2.4502	2.742
0.0012697	2.4712	1.249
0.0008244	2.4921	-2.5856
0.0030944	2.513	-1.1358
0.0025031	2.534	0.0029456
0.00086486	2.5549	-1.8651
0.00086725	2.5759	3.0108
0.00226	2.5968	-0.63344
0.0038949	2.6178	1.9351
0.0041923	2.6387	-2.6131
0.0030471	2.6596	1.6595
0.0045527	2.6806	0.41208
0.004567	2.7015	-2.9011
0.00077777	2.7225	2.0389
0.0029599	2.7434	-1.5661
0.0010226	2.7643	-1.605
0.0026803	2.7853	2.6451
0.00052198	2.8062	-0.59305
0.0018695	2.8272	-1.5474
0.00079045	2.8481	2.4598
0.0021021	2.8691	2.8427
0.0022733	2.89	-1.3902
0.00082904	2.9109	-0.96841
0.00099616	2.9319	2.348
0.00053782	2.9528	2.4309
0.0043627	2.9738	2.3429
0.0029849	2.9947	-2.3494
0.0013414	3.0156	2.6366
0.0023271	3.0366	1.9954
0.0013762	3.0575	1.3637
0.004057	3.0785	-1.553
0.0028325	3.0994	0.75284
0.0026679	3.1204	1.2777
0.0026005	3.1413	-0.74963
0.0012525	3.1622	-2.4272
0.0023417	3.1832	2.0836
0.002526	3.2041	2.6048
0.0019869	3.2251	1.5784
0.0020099	3.246	-3.1398
0.0016597	3.267	1.8279
0.00019528	3.2879	-2.0882
0.0013156	3.3088	0.072935
0.0021887	3.3298	1.7206
0.0024736	3.3507	2.446
0.0013148	3.3717	2.9619
0.0035986	3.3926	0.32505
0.0025291	3.4135	3.08
0.0011484	3.4345	-1.1789
0.0019668	3.4554	-2.6984
0.0039821	3.4764	1.7079
0.0032858	3.4973	-2.3092
0.0043577	3.5183	-0.16992
0.0019899	3.5392	2.0535
0.0028837	3.5601	0.83357
0.00075386	3.5811	1.2965
0.0029615	3.602	0.16525
0.0010247	3.623	-0.90418
0.0016819	3.6439	2.9736
0.00092171	3.6649	0.51356
0.00085297	3.6858	1.2038
0.0024821	3.7067	-0.10804
0.0020549	3.7277	-1.8401
0.002576	3.7486	1.7405
0.00095321	3.7696	-0.26669
0.0019768	3.7905	-0.3041
0.0035602	3.8114	0.51826
0.0013791	3.8324	-0.020592
0.0016951	3.8533	3.0193
0.0027634	3.8743	-1.1559
0.0010995	3.8952	2.5892
0.0024278	3.9162	-0.13711
0.0049095	3.9371	-1.1735
0.002804	3.958	2.1866
0.00054697	3.979	-2.6826
0.0011037	3.9999	0.18343
0.0028691	4.0209	2.5805
0.00064514	4.0418	-2.9116
0.0021535	4.0627	-2.5494
0.0019406	4.0837	1.0719
0.001932	4.1046	-0.60716
0.0010065	4.1256	1.5242
0.0003965	4.1465	-0.75512
0.00094279	4.1675	-0.32731
0.00021095	4.1884	1.7682
0.0011274	4.2093	-1.9185
0.0023247	4.2303	0.10197
0.0011108	4.2512	-0.21614
0.0007966	4.2722	-1.222
0.0033865	4.2931	-0.17732
0.00077704	4.3141	2.192
0.0016231	4.335	-2.6148
0.001887	4.3559	2.9537
0.001771	4.3769	-1.5043
0.00091295	4.3978	1.7869
0.00058313	4.4188	-1.9218
0.00055528	4.4397	-2.6175
0.00091467	4.4606	0.64053
0.0011291	4.4816	-2.3734
0.0039733	4.5025	0.49884
0.001224	4.5235	2.5415
0.0019297	4.5444	-2.0881
0.00077762	4.5654	2.6354
0.0015606	4.5863	-2.6707
0.0023779	4.6072	-3.0743
0.0026877	4.6282	3.065
0.0015553	4.6491	-1.249
0.0015277	4.6701	2.4614
0.0012568	4.691	0.21259
0.0010714	4.712	-2.144
0.0016951	4.7329	-1.9532
0.0016935	4.7538	1.9575
0.0016221	4.7748	-1.3124
0.0010902	4.7957	2.5797
0.001382	4.8167	2.2201
0.00092164	4.8376	-0.853
0.0023099	4.8585	2.3921
0.0015535	4.8795	-0.12842
0.001182	4.9004	-2.6438
0.00217	4.9214	2.1599
0.0020357	4.9423	0.31121
0.0035804	4.9633	1.8689
0.001709	4.9842	2.4624
0.0013636	5.0051	-0.77234
0.00077391	5.0261	-2.851
0.0013037	5.047	-2.733
0.00072042	5.068	-2.2447
0.00079173	5.0889	-2.1721
0.001337	5.1098	2.8481
0.00053168	5.1308	1.5287
0.0007566	5.1517	0.66669
0.00032083	5.1727	0.93142
0.0010701	5.1936	1.9886
0.00020333	5.2146	-0.23465
0.00070298	5.2355	1.1521
0.00018965	5.2564	2.1428
0.00076486	5.2774	-2.9094
0.0010042	5.2983	0.55162
0.00072559	5.3193	2.2794
9.6652e-05	5.3402	2.7891
0.00020865	5.3612	0.11661
0.00089635	5.3821	0.8051
0.00079558	5.403	1.0532
0.00031179	5.424	1.8188
0.00040423	5.4449	-0.0905
0.00074396	5.4659	0.92306
0.0004562	5.4868	-1.8146
0.00087262	5.5077	0.54854
0.00073492	5.5287	-0.33843
7.4436e-05	5.5496	-1.1509
0.00058554	5.5706	-0.14924
0.00023791	5.5915	-0.18402
0.00049138	5.6125	0.47544
0.00071856	5.6334	0.075911
0.00081207	5.6543	-0.23601
0.00050743	5.6753	0.15707
0.00024891	5.6962	-2.0949
0.00053025	5.7172	-0.61689
0.00035489	5.7381	0.026505
8.4555e-05	5.7591	-0.38213
0.00033823	5.78	-0.77093
0.00030049	5.8009	-0.37163
0.00030681	5.8219	-0.61315
0.00011586	5.8428	-1.9026
0.00069475	5.8638	-2.6585
0.00028073	5.8847	0.31141
8.3626e-05	5.9056	-2.9147
0.00050541	5.9266	-1.5279
0.00024726	5.9475	-2.4986
0.00022016	5.9685	-1.3111
0.00042412	5.9894	-0.87808
0.00065117	6.0104	-2.7336
0.00048593	6.0313	-1.1724
0.00015489	6.0522	3.0586
0.00041031	6.0732	2.8511
0.00070952	6.0941	-1.98
0.00036009	6.1151	1.8362
0.00037162	6.136	-2.3229
0.0004048	6.1569	-2.4264
0.0002052	6.1779	2.5991
0.000156	6.1988	-1.1134
0.00022782	6.2198	-2.0821
0.00091485	6.2407	2.7199
6.7291e-05	6.2617	-1.0147
0.00033848	6.2826	1.9134
0.001054	6.3035	-2.159
0.00049869	6.3245	-2.8403
0.00043092	6.3454	2.9821
0.00045085	6.3664	-2.5898
0.00046104	6.3873	1.1546
0.00033434	6.4083	-2.9917
0.00041222	6.4292	2.2617
0.00017954	6.4501	-0.034714
0.00014728	6.4711	-1.1533
0.00084485	6.492	1.888
0.00048077	6.513	-2.243
0.00031194	6.5339	3.1347
0.0002879	6.5548	1.4278
0.001288	6.5758	2.8185
0.00018856	6.5967	2.8211
0.0004053	6.6177	0.37075
0.00064856	6.6386	2.7944
0.00055166	6.6596	0.64454
0.00077082	6.6805	-3.0332
0.00065694	6.7014	2.6443
0.00070725	6.7224	0.55702
0.00015698	6.7433	-2.7846
0.00020438	6.7643	1.1369
0.00058722	6.7852	1.7123
0.00060004	6.8062	-2.8856
0.00044481	6.8271	-0.52946
0.00052485	6.848	0.60383
0.00025063	6.869	2.5575
0.00028252	6.8899	-0.0068346
0.0011026	6.9109	0.24531
0.00023227	6.9318	-2.3479
0.00028572	6.9527	1.7427
0.0005913	6.9737	-0.79755
0.00063044	6.9946	-1.3397
