ti2	force
23.581714	-607.549805
23.612259	-637.010742
23.632707	-637.649902
23.669889	-638.809570
23.685867	-639.310547
23.71871	-447.592285
23.737529	-448.168945
23.771021	-449.191895
23.792213	-478.370117
23.816904	-389.640137
23.828642	-279.322266
23.848425	-279.914062
23.879739	-280.854004
23.899421	-170.741699
23.924204	-60.762695
23.936607	49.589844
23.953443	49.102539
23.970293	48.618164
23.989973	101.689453
24.006067	211.971191
24.02074	404.069824
24.032478	514.499512
24.052917	624.703613
24.070522	706.442383
24.082916	899.102051
24.106195	1062.941895
24.124456	1255.063477
24.142065	1476.222168
24.153803	1586.742188
24.159671	1697.408691
24.172819	1890.152344
24.184557	2000.702637
24.193361	2111.322754
24.202163	2221.953613
24.209352	2332.622070
24.220335	2636.301270
24.226207	2968.669922
24.233501	3411.864258
24.240234	3998.392578
24.246109	4552.488281
24.254253	5181.049805
24.260126	5817.464844
24.265999	6260.792969
24.274051	6925.821289
24.28058	7784.011719
24.283521	8473.794922
24.288637	9028.066406
24.290821	9746.890625
24.299627	10186.469727
24.306907	10790.186523
24.316379	11509.154297
24.319317	11813.193359
24.328117	11924.171875
24.332456	11480.748047
24.339739	10983.631836
24.345602	10540.187500
24.351362	10207.595703
24.355713	9764.106445
24.362331	9074.160156
24.368848	8659.229492
24.376888	8161.976562
24.381996	7858.325195
24.390039	7529.535156
24.403938	7307.701172
24.412737	7143.051758
24.425134	6921.188477
24.440351	6674.596680
24.454158	6398.957031
24.470144	6094.672852
24.484707	5708.474609
24.502308	5321.769531
24.517629	5128.330078
24.53523	4824.322266
24.5499	4602.234375
24.564476	4269.164062
24.580555	3993.252930
24.59371	3660.138672
24.609789	3326.943359
24.628055	2939.911621
24.645557	2717.599121
24.660124	2388.223145
24.67752	2005.417969
24.691995	1811.697754
24.706564	1395.924805
24.726242	1173.401855
24.741567	757.526855
24.752546	646.203125
24.772226	316.455078
24.788309	11.491699
24.805811	-322.180176
24.823324	-516.199707
24.839405	-516.695312
24.857011	-681.681641
24.877552	-682.329102
24.906791	-905.437988
24.930162	-906.193115
24.957132	-907.064209
24.983436	-796.791992
24.997902	-797.252930
25.015413	-550.795898
25.03923	-551.535645
25.064676	-634.825684
25.0923	-635.691406
25.120588	-636.579102
25.144508	-665.995117
25.172132	-666.865234
