wg2	wg_y
19.104887	-0.397042
19.164442	-0.402330
19.244955	-0.412718
19.339491	-0.412723
19.409465	-0.409983
19.452896	-0.409985
19.498785	-0.409988
19.563177	-0.417835
19.679815	-0.423126
19.749769	-0.403358
19.806108	-0.379690
19.889753	-0.348163
20.002761	-0.285334
20.094032	-0.193719
20.147514	-0.142983
20.182474	-0.104833
20.204155	-0.062947
20.301214	0.276291
20.384342	0.990642
20.492998	0.998429
20.600999	0.908932
20.712156	0.780941
20.80365	0.649953
20.905988	0.524437
21.00584	0.426346
21.110946	0.312397
21.211202	0.200643
21.305414	0.115672
21.412891	0.049103
21.491003	-0.012361
21.596424	-0.042515
21.701799	-0.075391
21.804031	-0.103004
21.909059	-0.146435
21.992742	-0.204338
22.036176	-0.217460
22.079609	-0.228024
22.133899	-0.238590
22.177333	-0.243874
22.231624	-0.249160
22.275056	-0.249165
22.329351	-0.243892
22.399767	-0.228062
22.456482	-0.212232
22.499206	-0.184833
22.547847	-0.212429
22.607383	-0.250563
22.693456	-0.310637
22.809305	-0.356421
22.865997	-0.381270
22.90942	-0.391830
22.968584	-0.391834
23.030925	-0.399672
23.144918	-0.412318
23.295061	-0.407050
23.396886	-0.412333
23.482969	-0.428170
23.555776	-0.439924
23.658372	-0.434653
23.750108	-0.434658
23.833753	-0.426830
23.885273	-0.399275
23.915092	-0.361145
24.006147	-0.297217
24.098028	-0.192237
24.203634	-0.047982
24.306808	0.371066
24.391336	0.918527
24.515451	0.978664
24.601474	0.863303
24.709173	0.749465
24.816846	0.628010
24.92765	0.486822
25.022035	0.379482
25.113241	0.278597
25.207216	0.167355
25.293218	0.086035
25.422639	0.016640
25.514291	-0.031667
25.597551	-0.059040
25.710928	-0.082523
25.80826	-0.110101
25.918752	-0.167754
26.018434	-0.221302
26.107252	-0.256514
26.19367	-0.282702
26.278215	-0.245246
26.373197	-0.222992
26.451242	-0.223002
26.49706	-0.251737
26.583887	-0.267564
26.669874	-0.308184
26.734163	-0.342005
26.796442	-0.365651
26.858343	-0.387917
26.920625	-0.409008
26.985742	-0.419555
27.056089	-0.423472
27.129289	-0.423476
27.199323	-0.419568
27.29389	-0.410390
27.353014	-0.410394
27.418153	-0.410398
27.52075	-0.410404
27.650655	-0.410412
27.731535	-0.410417
27.807539	-0.410422
27.883577	-0.399886
27.954019	-0.376279
28.027364	-0.336843
28.089517	-0.285694
28.124784	-0.221473
28.197858	-0.142809
28.211504	-0.053763
28.309087	0.109119
28.325452	0.174509
28.400373	0.722124
28.419519	0.790245
28.468294	0.903696
28.501009	0.935295
28.622724	0.876909
28.666051	0.842909
28.703775	0.808913
28.735803	0.762036
28.757417	0.733317
28.784204	0.693070
28.827207	0.664344
28.835062	0.623921
28.869966	0.587213
28.910455	0.546594
28.940065	0.512443
28.97421	0.478454
29.025163	0.435467
29.068452	0.397403
29.092447	0.360889
29.108408	0.321641
29.151338	0.290206
29.172906	0.253509
29.20775	0.215616
29.255907	0.176362
29.295953	0.126411
29.352495	0.084791
29.403497	0.057455
29.460119	0.026023
29.505857	-0.001331
29.581743	-0.031407
29.629953	-0.055015
29.681375	-0.072019
29.759725	-0.090364
29.827192	-0.113994
29.902734	-0.133529
29.975526	-0.141337
30.048261	-0.162229
30.118539	-0.191122
30.201749	-0.210840
30.26362	-0.231728
30.306608	-0.244816
30.350042	-0.244821
30.414812	-0.244828
30.460756	-0.234302
30.482565	-0.215956
30.520357	-0.215960
30.550081	-0.226496
30.571664	-0.252827
30.59852	-0.268627
30.63624	-0.290866
30.657884	-0.305307
30.714166	-0.322281
30.768076	-0.322286
30.803011	-0.332820
30.857233	-0.345905
30.897749	-0.368142
30.946313	-0.383941
30.981317	-0.389208
31.043665	-0.389213
31.103155	-0.391767
31.170717	-0.391772
